id,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,assertion,missing_evidence,evidence_artifact_status,message
seller_maya_match_score_three_label_compression,Sourcera_Master_Spec.md,67116,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.8 [V11],`spec_binding_pending_pack_m11_3`,m11_3,Marketplace Match Score rendering tests.,"On `plan_tier ∈ {seller_free, seller_solo}` the Match Score MUST render as one of `Strong match` / `Likely match` / `Weak match`; the `insufficient_signal` engine bucket MUST surface as `Weak match` plus the annotation copy. The numeric `MarketplaceMatchScoreSnapshot` engine row MUST continue to write unchanged.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_charge_kind_registered,Sourcera_Master_Spec.md,67119,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.9,`spec_binding_pending_pack_m24_3`,m24_3,Appendix J `billing_event_charge_kind` enum.,"Values `solo_per_eval`, `solo_per_bid`, `solo_charge_refunded`, `solo_subscription_started`, `solo_subscription_renewed`, `solo_subscription_canceled` MUST be present in the enum AND must round-trip through Stripe meter-event mapping per §34.10.5.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",.github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
solo_dual_console_independent_invoicing,Sourcera_Master_Spec.md,67120,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.9,`spec_binding_pending_pack_m11_3`,m11_3,Stripe billing-cycle integration test.,An Org holding `Buyer Solo + Seller Solo` MUST receive two separate Stripe Subscription invoices each billing cycle (one per console); no bundle discount; no contract collapse.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_plan_change_console_isolation,Sourcera_Master_Spec.md,67121,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.9,`spec_binding_pending_pack_m11_3`,m11_3,Plan-change handler tests.,"A plan change on one Solo console (e.g., `Buyer Solo → Buyer Starter`) MUST NOT modify the contralateral console's plan tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
aiwallet_response_excludes_solo_envelope,Sourcera_Master_Spec.md,67122,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.9,`spec_binding_pending_pack_m11_3`,m11_3,`GET /v1/orgs/{org_id}/wallet` API response schema.,"The wallet API response MUST exclude the Solo engine-absorbed envelope from every customer-facing counter (`budget_value_dollars`, `consumed_value_dollars`, `overage_cap_value_dollars`, `remaining_value_dollars`).",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_subscription_blocks_per_charge,Sourcera_Master_Spec.md,67123,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.9,`spec_binding_pending_pack_m11_3`,m11_3,Solo per-eval / per-bid charge handler tests.,A per-eval / per-bid Stripe charge attempt on an Org with an active Solo subscription on the same console MUST be rejected with HTTP 422 (`solo_subscription_active_per_eval_charge_blocked` / `solo_subscription_active_per_bid_charge_blocked`).,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_engine_metering_parity,Sourcera_Master_Spec.md,67126,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.10 [V11],`spec_binding_pending_pack_m11_3`,m11_3,AIOperation write handler tests.,"Every Solo AIOperation MUST pass through the standard `value_price_cents` / `cost_price_cents` / Outcome Resolver path identically to non-Solo operations. The `solo_envelope_blocked` flag is a surface-state indicator, not an engine-bypass.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_telemetry_no_customer_routing,Sourcera_Master_Spec.md,67127,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.10 [V11],`spec_binding_pending_pack_m11_3`,m11_3,Webhook delivery + in-app inbox + email dispatch + PostHog payload routing.,"The five §44.6.5 telemetry events (`solo.envelope.throttling_engaged`, `solo.envelope.throttling_cleared`, `solo.envelope.exhausted`, `solo.envelope.absorption_cap_reached`, `solo.capability.envelope_no_block_invoked`) MUST route Ops-only — never to Solo-Org webhook subscribers, in-app inbox, or email.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_throttling_class_change_takes_effect_at_next_envelope_rollover,Sourcera_Master_Spec.md,67130,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.10,`spec_binding_pending_pack_m11_3`,m11_3,CapabilityRegistryEntry mutation handler tests.,Updates to a CapabilityRegistryEntry's `surface_throttling_class` MUST NOT take effect mid-envelope-window for any Solo Org currently in that window; the new classification applies at the next envelope rollover.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_envelope_per_console_isolation,Sourcera_Master_Spec.md,67131,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.10,`spec_binding_pending_pack_m11_3`,m11_3,Throttling-state computation tests.,A `Buyer Solo + Seller Solo` Org MUST have independent throttling states per console; one console's exhaustion MUST NOT throttle the other.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_envelope_throttling_targets_low_priority_background_only,Sourcera_Master_Spec.md,67133,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.10,`spec_binding_pending_pack_m11_3`,m11_3,Throttling-engagement tests.,"Capabilities with `surface_throttling_class ∈ {active_workflow, never_throttle}` MUST NEVER be suppressed by Solo envelope throttling; capabilities in `low_priority_background` MUST be suppressed at threshold breach.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_isolation_violation_no_data_path_use,Sourcera_Master_Spec.md,67144,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V8.4,`spec_binding_pending_pack_m11_3`,m11_3,Sourcera codebase static-analysis pass against every endpoint that returns `console_isolation_violation`.,The code MUST NOT be returned from any data-bearing endpoint (any §32.5 / §32.8 / §32.9 endpoint that reads or writes Org / Workspace / Bid Workspace / Capability data). Data paths MUST return HTTP 404 (subkind `firewall_non_leak`) per §7.2.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
vendor_opt_out_capability_layer_enforcement,Sourcera_Master_Spec.md,67145,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V8.4,`spec_binding_pending_pack_m11_3`,m11_3,§4.8.1 capability-invocation handler tests.,"Every customer-billed AIOperation handler MUST consult the §4.4.8 Vendor Opt-Out Registry pre-write; on a matching scope, MUST return HTTP 403 `vendor_opt_out_blocks_capability` rather than execute the AIOperation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
audit_event_hash_chain_full_corpus_coverage,Sourcera_Master_Spec.md,67181,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m21_3`,m21_3,§42.6.1 `audit_event_hash_chain_scan` job runtime telemetry.,Coverage ≥ 99.9% (rows_scanned / rows_in_partition) per partition per scan-pass.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
audit_event_break_glass_integrity_scan_triggered,Sourcera_Master_Spec.md,67182,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m21_3`,m21_3,§50.2.4 ¶4 break-glass `session_closed` event handler.,Closure MUST trigger per-Org integrity scan within 1 hour.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
auth_audit_event_emission_completeness,Sourcera_Master_Spec.md,67183,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m11_3`,m11_3,Authentication path test coverage.,"Every successful / failed login, MFA factor lifecycle, recovery-code-use, account-lockout, session-revocation, password-reset, SSO assertion, SCIM event MUST emit the corresponding `auth.*` AuditEvent within the §6.7.6 SLA window.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_residency_partition_isolation,Sourcera_Master_Spec.md,67184,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m02_3`,m02_3,DSAR cascade-walker code paths (static analysis).,"Cascade walker code paths MUST NOT issue cross-region reads; per-region forks honor `DSARRequest.data_residency_region`; Pattern B User-row pseudonymization MUST execute only in `User.home_residency_region`, with non-home forks waiting on source-region projection-redaction confirmation.",tools/spec-lint/gates/dsar_cascade_residency_partition_isolation.ts,tools/spec-lint/gates/dsar_cascade_residency_partition_isolation.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/dsar_cascade_residency_partition_isolation.ts.
dsar_manifestly_unfounded_rejection_audit_emission,Sourcera_Master_Spec.md,67191,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m11_3`,m11_3,DSARRequest state-transition handler tests.,Every `manifestly_unfounded_rejected` transition MUST emit `dsar.rejected_manifestly_unfounded` AuditEvent with `trigger_condition` + `rejection_rationale` + `dual_signoff_actors[]`.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
cross_org_guest_sso_bypass_blocked,Sourcera_Master_Spec.md,67192,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V,`spec_binding_pending_pack_m11_3`,m11_3,§6.5.1 email-domain-match check at §6.5 email+password authentication.,"Every email+password attempt MUST run the email-domain-match check against verified-domain claims of every Org other than the inviting Org; on match, return HTTP 403 `sso_bypass_blocked_email_domain_match`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_raw_attributes_not_consumed,Sourcera_Master_Spec.md,67201,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V+ (WorkOS integration),`spec_binding_pending_pack_m02_3`,m02_3,Sourcera codebase static-analysis pass.,No code path MAY read `Directory User.raw_attributes` (deprecated effective 2026-04-15). Consume `custom_attributes` and predefined attributes only.,tools/spec-lint/gates/workos_raw_attributes_not_consumed.ts,tools/spec-lint/gates/workos_raw_attributes_not_consumed.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/workos_raw_attributes_not_consumed.ts.
workos_predefined_attributes_consumed,Sourcera_Master_Spec.md,67202,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V+,`spec_binding_pending_pack_m11_3`,m11_3,SCIM webhook handler tests.,"The SCIM webhook handler MUST populate `display_name`, `employee_number`, `manager_id`, `manager_name`, `phone_numbers_json`, `organization_attribute` on the §4.2.3 User row within 60 seconds of `user_updated` webhook delivery.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_groups_api_membership_consistency,Sourcera_Master_Spec.md,67203,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V+,`spec_binding_pending_pack_m11_3`,m11_3,WorkOS Groups API webhook delivery integration tests.,"Every `group.created` / `group.updated` / `group.deleted` / `group.member.added` / `group.member.removed` webhook MUST be reflected on §4.2.5 Group row + §4.2.2 OrgMembership.`workos_group_ids` array within 60 seconds. Property test on a 1,000-event synthetic stream.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_directory_group_role_assignment_precedence,Sourcera_Master_Spec.md,67204,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,3V+,`spec_binding_pending_pack_m11_3`,m11_3,Role-resolution code paths (static analysis + property test).,"When a member holds both SCIM directory-group → role and SSO-assertion-driven role bindings, the SCIM directory-group binding MUST take precedence per WorkOS April 2026 contract.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_aggregate_recompute_synchronous,Sourcera_Master_Spec.md,67211,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,DSAR cascade-walker code paths + cascade-transaction property tests.,Cascade walker MUST emit `dsar.cascade.aggregate_recompute_required` per affected cohort tuple before advancing to `dsar.cascade.row_redacted`; per-cohort recompute MUST complete within P99 ≤ 60 seconds. Recompute failure MUST emit `dsar_cascade_aggregate_recompute_failed` (HTTP 503) and route to §6.8.4.6 partial-failure path.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
