execution_group,gate_id,release_evidence_lane,evidence_posture,required_execution,missing_evidence
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","policy_ingestion_partial_resume_idempotency","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","policy_ingestion_parent_child_settlement","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","policy_ingestion_buyer_console_firewall","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","workspace_template_idempotency_atomicity","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","first_pass_high_stakes_band_only","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","selection_report_v2_watermark_grandfathering","m11_3","required_product_runtime_evidence_missing","migration_test + export_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","defense_view_engagement_event_runtime","m21_3","required_product_runtime_evidence_missing","browser_test + event_schema_test",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","requirement_reopening_runtime_consistency","m11_3","required_product_runtime_evidence_missing","API_test + transaction_test + materializer_test + mobile_e2e + non_leak_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","vendor_disqualification_phase_aware_reversal_runtime","m11_3","required_product_runtime_evidence_missing","transaction_test + scoring_test + report_finality_test + webhook_test + mobile_e2e",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_maya_solo_free_copy_string_lint","m11_3","required_product_runtime_evidence_missing","Seller surfaces under `plan_tier ∈ {seller_free, seller_solo}`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_maya_chip_list_auto_publish_state_machine","m11_3","required_product_runtime_evidence_missing","CapabilityDeclaration write handler tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_maya_match_score_three_label_compression","m11_3","required_product_runtime_evidence_missing","Marketplace Match Score rendering tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bridge_payload_body_pii_sweep_buyer_seller_parity","m11_3","required_product_runtime_evidence_missing","QA test pack against §22.3.1 + §6.8.4.5 sweep paths.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_bootstrap_per_org_concurrency_lock_active","m11_3","required_product_runtime_evidence_missing","§22.4.4 KB Bootstrap concurrency-lock runtime path (Convex transaction handler) + integration tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_pulse_surface_engine_mapping","m11_3","required_product_runtime_evidence_missing","Appendix M.1 Seller Pulse row + §24.4.4 Solo Seller Surface Treatment.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_bootstrap_allowance_compensation_completeness","m02_3","local_guard_present_external_evidence_pending","pr_lint + convex unit + post-build","deployed Convex, endpoint, audit, and delivery evidence remains required"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","dsar_erased_seller_excluded_from_recovery_cadence","m02_3","local_guard_present_external_evidence_pending","pr_lint + convex unit + suppression-list join","deployed enqueue, send-time, retry, and suppression-join evidence remains required"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","qa_suggestion_family_cardinality","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","qa_suggestion_family_outcome_contract_isolation","m11_3","required_product_runtime_evidence_missing","deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_suggestion_family_cardinality","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_suggestion_family_outcome_contract_isolation","m11_3","required_product_runtime_evidence_missing","deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_suggestion_alias_console_resolution_integrity","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","first_pass_rfp_draft_outcome_contract_isolation","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_console_role_permission_completeness","m11_3","required_product_runtime_evidence_missing","pr_lint + deploy_validator + endpoint_fixture",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_onboarding_reactivation_single_source","m11_3","required_product_runtime_evidence_missing","pr_lint + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_onboarding_staleness_window_single_source","m11_3","required_product_runtime_evidence_missing","pr_lint + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","qa_suggestion_cross_console_firewall_boundary","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_mcp_webhook_alert_catalog_completeness","m11_3","required_product_runtime_evidence_missing","pr_lint + runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_software_transfer_request_entity_home","m11_3","required_product_runtime_evidence_missing","pr_lint + runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_workspace_deal_size_band_firewall","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_solo_onboarding_consumption_invisibility","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_solo_per_bid_charge_stage_binding","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_solo_per_bid_election_authorization_binding","m24_3","required_product_runtime_evidence_missing","stripe_test + runtime_test",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_kb_v2_cutover_grandfathering","m11_3","required_product_runtime_evidence_missing","migration_test + entitlement_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_onboarding_provider_outage_visible","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_onboarding_stage3_abandonment_allowance_not_debited","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","capability_declaration_reuse_count_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test","convex/deploy_validators/capability_declaration_reuse_count_consistency.ts, tests/integration/capability_declaration_reuse_count_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_value_meter_estimated_value_guard_runtime","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test","convex/deploy_validators/kb_value_meter_estimated_value_guard_runtime.ts, tests/integration/kb_value_meter_estimated_value_guard_runtime.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_injection_scanner_registry_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test","convex/deploy_validators/kb_injection_scanner_registry_runtime_consistency.ts, tests/integration/kb_injection_scanner_registry_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","kb_state_persisting_audit_event_coverage","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test","convex/deploy_validators/kb_state_persisting_audit_event_coverage.ts, tests/integration/kb_state_persisting_audit_event_coverage.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_maya_billing_detail_plan_guard","m24_3","required_product_runtime_evidence_missing","deploy_validator + api_integration_test","convex/deploy_validators/seller_maya_billing_detail_plan_guard.ts, tests/integration/seller_maya_billing_detail_plan_guard.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_response_editor_lock_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test","convex/deploy_validators/bid_response_editor_lock_runtime_consistency.ts, tests/integration/bid_response_editor_lock_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_response_bulk_submit_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test","convex/deploy_validators/bid_response_bulk_submit_runtime_consistency.ts, tests/integration/bid_response_bulk_submit_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_workspace_voluntary_withdrawal_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test","convex/deploy_validators/bid_workspace_voluntary_withdrawal_runtime_consistency.ts, tests/integration/bid_workspace_voluntary_withdrawal_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_workspace_surface_state_runtime_consistency","m11_3","required_product_runtime_evidence_missing","render_test + integration_test","tests/render/bid_workspace_surface_state_runtime_consistency.spec.tsx, tests/integration/bid_workspace_surface_state_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_bid_workspace_mobile_accessibility_runtime","m21_3","required_product_runtime_evidence_missing","mobile_e2e + accessibility_test","tests/mobile/seller_bid_workspace_mobile_accessibility_runtime.spec.tsx, tests/accessibility/seller_bid_workspace_mobile_accessibility_runtime.spec.tsx"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","nda_lifecycle_notification_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test","convex/deploy_validators/nda_lifecycle_notification_runtime_consistency.ts, tests/integration/nda_lifecycle_notification_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_console_phase24_firewall_state_runtime_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + render_test + integration_test","convex/deploy_validators/seller_console_phase24_firewall_state_runtime_consistency.ts, tests/render/seller_console_phase24_surface_states.spec.tsx, tests/integration/seller_console_phase24_firewall_state_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_console_phase24_mobile_accessibility_runtime","m21_3","required_product_runtime_evidence_missing","mobile_e2e + accessibility_test","tests/mobile/seller_console_phase24_mobile_accessibility_runtime.spec.tsx, tests/accessibility/seller_console_phase24_mobile_accessibility_runtime.spec.tsx"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_console_phase24_plan_authority_runtime_consistency","m24_3","required_product_runtime_evidence_missing","deploy_validator + api_integration_test","convex/deploy_validators/seller_console_phase24_plan_authority_runtime_consistency.ts, tests/integration/seller_console_phase24_plan_authority_runtime_consistency.spec.ts"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","qa_attachment_cross_console_content_scan_runtime","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_kb_first_entry_indexed_runtime","m11_3","required_product_runtime_evidence_missing","transaction_test + outbox_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_stake_reveal_outcome_targets_runtime","m21_3","required_product_runtime_evidence_missing","browser_test + event_schema_test + warehouse_model_test",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_direct_signup_value_activation_runtime","m11_3","required_product_runtime_evidence_missing","transaction_test + integration_test + mobile_e2e",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","bid_workspace_buyer_purge_orphan_runtime","m11_3","required_product_runtime_evidence_missing","migration_test + transaction_test + seller_browser_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Seller onboarding, Maya, KB and Q&A, and bid workflows","seller_qa_phase8_readonly_runtime","m11_3","required_product_runtime_evidence_missing","transaction_test + API_test + mobile_e2e",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Marketplace, matching, and promoted placements","vendor_opt_out_capability_layer_enforcement","m11_3","required_product_runtime_evidence_missing","§4.8.1 capability-invocation handler tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Marketplace, matching, and promoted placements","marketplace_match_score_snapshot_tuple_uniqueness","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Marketplace, matching, and promoted placements","marketplace_proactive_offer_pre_acceptance_redaction","m11_3","required_product_runtime_evidence_missing","runtime_test + pr_lint",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Marketplace, matching, and promoted placements","marketplace_proactive_offer_lifecycle_state_machine","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Marketplace, matching, and promoted placements","global_ban_reversal_marketplace_restoration_runtime","m21_3","required_product_runtime_evidence_missing","marketplace_test + accessibility_test + synthetic_monitor",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics"
"Marketplace, matching, and promoted placements","featured_placement_funnel_runtime","m21_3","required_product_runtime_evidence_missing","marketplace_browser_test + event_schema_test",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics"
"Billing, wallets, trials, subscriptions, and settlement","solo_charge_kind_registered","m24_3","required_product_runtime_evidence_missing","Appendix J `billing_event_charge_kind` enum.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","aiwallet_response_excludes_solo_envelope","m11_3","required_product_runtime_evidence_missing","`GET /v1/orgs/{org_id}/wallet` API response schema.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","solo_subscription_blocks_per_charge","m11_3","required_product_runtime_evidence_missing","Solo per-eval / per-bid charge handler tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","cost_base_recalc_notice_window_trajectory_gate","m11_3","required_product_runtime_evidence_missing","§34.18 cost-base recalc trajectory authoring; PolicyIngestion-driven recalc tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_read_role_gate_scope","m11_3","required_product_runtime_evidence_missing","`/v1/orgs/{org_id}/wallet` endpoint handler tests; §5.11 Feature Access Matrix wallet:read row.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","committed_spend_single_pool_invariant","m24_3","required_product_runtime_evidence_missing","`/v1/orgs/{org_id}/committed-spend/*` handler tests; §4.8.3 / §4.8.8 / §34.12.5 Committed Spend authoring.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","committed_spend_single_auto_renew_invariant","m24_3","required_product_runtime_evidence_missing","`/v1/orgs/{org_id}/committed-spend/renew` handler tests; §4.8.8 / §34.12.5 Committed Spend authoring.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","committed_spend_console_scope_consistency","m24_3","required_product_runtime_evidence_missing","Committed-spend cross-console-read handlers + property tests.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","legal_entity_residency_change_revenue_leak_test","m24_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test + synthetic_monitor",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","solo_trial_one_per_org_lifetime","m02_3","local_guard_present_external_evidence_pending","pr_lint + deploy_validator","deployed eligibility, transaction, and billing-suppression validator evidence remains required"
"Billing, wallets, trials, subscriptions, and settlement","solo_upgrade_cta_threshold_3_events_30d_subscription_immediate_per_eval_bid","m02_3","local_guard_present_external_evidence_pending","pr_lint + deploy_validator","deployed aggregation, idempotency, and render evidence remains required"
"Billing, wallets, trials, subscriptions, and settlement","org_admin_billing_read_consistency","m11_3","required_product_runtime_evidence_missing","pr_lint + deploy_validator + endpoint_fixture",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","contest_window_db_trigger_present","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","free_allowance_plan_entitlement_partitioning","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_auto_topup_period_cap_counter_completeness","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","scenario_modeling_aioperation_settlement","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","solo_absorption_cap_enforced","m11_3","required_product_runtime_evidence_missing","runtime_test + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","solo_absorption_cap_counter_state_contract","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","pro_trial_no_refund_after_vendor_notification","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_autotopup_ops_override_bounds","m11_3","required_product_runtime_evidence_missing","runtime_test + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_free_free_additive_pool","m11_3","required_product_runtime_evidence_missing","runtime_test + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_free_paid_additive_pool_solo_exception","m11_3","required_product_runtime_evidence_missing","runtime_test + deploy_validator",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","pro_trial_day_31_contextual_cta_entitlement_fit","m11_3","required_product_runtime_evidence_missing","resolver_test + ui_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","ai_response_generation_billing_consistency","m11_3","required_product_runtime_evidence_missing","deploy_validator + runtime_test","convex/deploy_validators/ai_response_generation_billing_consistency.ts, tests/integration/ai_response_generation_billing_consistency.spec.ts"
"Billing, wallets, trials, subscriptions, and settlement","billing_async_failure_state_runtime_consistency","m11_3","required_product_runtime_evidence_missing","worker_test + api_integration_test","tests/workers/billing_async_failure_state_runtime_consistency.spec.ts, tests/integration/billing_async_failure_state_runtime_consistency.spec.ts"
"Billing, wallets, trials, subscriptions, and settlement","ai_wallet_state_machine_runtime_consistency","m11_3","required_product_runtime_evidence_missing","property_test + billing_integration_test","tests/property/ai_wallet_state_machine_runtime_consistency.spec.ts, tests/integration/ai_wallet_state_machine_runtime_consistency.spec.ts"
"Billing, wallets, trials, subscriptions, and settlement","free_allowance_quota_decrease_guard","m24_3","required_product_runtime_evidence_missing","billing_runtime_test + deploy_validator",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
"Billing, wallets, trials, subscriptions, and settlement","billing_organization_suspended_webhook_runtime","m11_3","required_product_runtime_evidence_missing","deploy_validator + integration_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","pro_trial_hero_moment_slo_precedence_runtime","m11_3","required_product_runtime_evidence_missing","entitlement_test + cohort_model_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","wallet_auto_topup_daily_frequency_runtime","m11_3","required_product_runtime_evidence_missing","transaction_test + Stripe_contract_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","outcome_resolver_free_allowance_settlement_runtime","m11_3","required_product_runtime_evidence_missing","settlement_test + contest_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Billing, wallets, trials, subscriptions, and settlement","solo_per_charge_dispute_disambiguation_runtime","m24_3","required_product_runtime_evidence_missing","Stripe_test + webhook_test + browser_test",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators"
