id,blocker_kind,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,execution_context,assertion,missing_evidence,evidence_artifact_status,evidence_posture,message
"seller_maya_match_score_three_label_compression","runtime_evidence","Sourcera_Master_Spec.md","71790","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.8 [V11]","spec_binding_pending_pack_m11_3","m11_3","Marketplace Match Score rendering tests.","Marketplace Match Score rendering tests.","On `plan_tier ∈ {seller_free, seller_solo}` the Match Score MUST render as one of `Strong match` / `Likely match` / `Weak match`; the `insufficient_signal` engine bucket MUST surface as `Weak match` plus the annotation copy. The numeric `MarketplaceMatchScoreSnapshot` engine row MUST continue to write unchanged.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_charge_kind_registered","runtime_evidence","Sourcera_Master_Spec.md","71793","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.9","spec_binding_pending_pack_m24_3","m24_3","Appendix J `billing_event_charge_kind` enum.","Appendix J `billing_event_charge_kind` enum.","Values `solo_per_eval`, `solo_per_bid`, `solo_charge_refunded`, `solo_subscription_started`, `solo_subscription_renewed`, `solo_subscription_canceled` MUST be present in the enum AND must round-trip through Stripe meter-event mapping per §34.10.5.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",".github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
"solo_dual_console_independent_invoicing","runtime_evidence","Sourcera_Master_Spec.md","71794","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.9","spec_binding_pending_pack_m11_3","m11_3","Stripe billing-cycle integration test.","Stripe billing-cycle integration test.","An Org holding `Buyer Solo + Seller Solo` MUST receive two separate Stripe Subscription invoices each billing cycle (one per console); no bundle discount; no contract collapse.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_plan_change_console_isolation","runtime_evidence","Sourcera_Master_Spec.md","71795","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.9","spec_binding_pending_pack_m11_3","m11_3","Plan-change handler tests.","Plan-change handler tests.","A plan change on one Solo console (e.g., `Buyer Solo → Buyer Starter`) MUST NOT modify the contralateral console's plan tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"aiwallet_response_excludes_solo_envelope","runtime_evidence","Sourcera_Master_Spec.md","71796","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.9","spec_binding_pending_pack_m11_3","m11_3","`GET /v1/orgs/{org_id}/wallet` API response schema.","`GET /v1/orgs/{org_id}/wallet` API response schema.","The wallet API response MUST exclude the Solo engine-absorbed envelope from every customer-facing counter (`budget_value_dollars`, `consumed_value_dollars`, `overage_cap_value_dollars`, `remaining_value_dollars`).",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_subscription_blocks_per_charge","runtime_evidence","Sourcera_Master_Spec.md","71797","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.9","spec_binding_pending_pack_m11_3","m11_3","Solo per-eval / per-bid charge handler tests.","Solo per-eval / per-bid charge handler tests.","A per-eval / per-bid Stripe charge attempt on an Org with an active Solo subscription on the same console MUST be rejected with HTTP 422 (`solo_subscription_active_per_eval_charge_blocked` / `solo_subscription_active_per_bid_charge_blocked`).",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_engine_metering_parity","runtime_evidence","Sourcera_Master_Spec.md","71800","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10 [V11]","spec_binding_pending_pack_m11_3","m11_3","AIOperation write-handler and pre-provider suppression-decision tests.","AIOperation write-handler and pre-provider suppression-decision tests.","Every provider-invoked Solo row MUST use standard value/cost pricing, Outcome Resolver settlement, and cost-base contribution. A pre-provider suppression row is the sole exception and MUST use `solo_aiop_disposition=suppressed_by_throttle`, derived `solo_envelope_blocked=true`, terminal `rejected`, zero customer charge, and no provider, token, output, wallet, or OutcomeContract artifacts.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_telemetry_no_customer_routing","runtime_evidence","Sourcera_Master_Spec.md","71801","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10 [V11]","spec_binding_pending_pack_m11_3","m11_3","Webhook delivery + in-app inbox + email dispatch + PostHog payload routing.","Webhook delivery + in-app inbox + email dispatch + PostHog payload routing.","The five §44.6.5 telemetry events (`solo.envelope.throttling_engaged`, `solo.envelope.throttling_cleared`, `solo.envelope.exhausted`, `solo.envelope.absorption_cap_reached`, `solo.capability.envelope_no_block_invoked`) MUST route Ops-only — never to Solo-Org webhook subscribers, in-app inbox, or email.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_telemetry_property_schema_completeness","runtime_evidence","Sourcera_Master_Spec.md","71802","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10","spec_binding_pending_pack_m11_3","m11_3","Webhook serializer, PostHog mirror, and delivery-routing contract tests.","Webhook serializer, PostHog mirror, and delivery-routing contract tests.","All five §44.6.5 payloads MUST match Appendix C and their PostHog mirrors MUST match Appendix G, including shared and event-specific keys, types, redaction, and Ops-only routing.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_throttling_class_change_takes_effect_at_next_envelope_rollover","runtime_evidence","Sourcera_Master_Spec.md","71805","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10","spec_binding_pending_pack_m11_3","m11_3","CapabilityRegistryEntry mutation handler tests.","CapabilityRegistryEntry mutation handler tests.","Updates to a CapabilityRegistryEntry's `surface_throttling_class` MUST NOT take effect mid-envelope-window for any Solo Org currently in that window; the new classification applies at the next envelope rollover.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_envelope_per_console_isolation","runtime_evidence","Sourcera_Master_Spec.md","71806","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10","spec_binding_pending_pack_m11_3","m11_3","Throttling-state computation tests.","Throttling-state computation tests.","A `Buyer Solo + Seller Solo` Org MUST have independent throttling states per console; one console's exhaustion MUST NOT throttle the other.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_envelope_throttling_targets_low_priority_background_only","runtime_evidence","Sourcera_Master_Spec.md","71808","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.10","spec_binding_pending_pack_m11_3","m11_3","Throttling-engagement tests.","Throttling-engagement tests.","Capabilities with `surface_throttling_class ∈ {active_workflow, never_throttle}` MUST NEVER be suppressed by Solo envelope throttling; capabilities in `low_priority_background` MUST be suppressed at threshold breach.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"console_isolation_violation_no_data_path_use","runtime_evidence","Sourcera_Master_Spec.md","71819","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V8.4","spec_binding_pending_pack_m11_3","m11_3","Sourcera codebase static-analysis pass against every endpoint that returns `console_isolation_violation`.","Sourcera codebase static-analysis pass against every endpoint that returns `console_isolation_violation`.","The code MUST NOT be returned from any data-bearing endpoint (any §32.5 / §32.8 / §32.9 endpoint that reads or writes Org / Workspace / Bid Workspace / Capability data). Data paths MUST return HTTP 404 (subkind `firewall_non_leak`) per §7.2.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"vendor_opt_out_capability_layer_enforcement","runtime_evidence","Sourcera_Master_Spec.md","71820","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V8.4","spec_binding_pending_pack_m11_3","m11_3","§4.8.1 capability-invocation handler tests.","§4.8.1 capability-invocation handler tests.","Every customer-billed AIOperation handler MUST consult the §4.4.8 Vendor Opt-Out Registry pre-write; on a matching scope, MUST return HTTP 403 `vendor_opt_out_blocks_capability` rather than execute the AIOperation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"audit_event_hash_chain_full_corpus_coverage","runtime_evidence","Sourcera_Master_Spec.md","71856","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","3V","spec_binding_pending_pack_m21_3","m21_3","§42.6.1 `audit_event_hash_chain_scan` job runtime telemetry.","§42.6.1 `audit_event_hash_chain_scan` job runtime telemetry.","Coverage ≥ 99.9% (rows_scanned / rows_in_partition) per partition per scan-pass.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"audit_event_break_glass_integrity_scan_triggered","runtime_evidence","Sourcera_Master_Spec.md","71857","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","3V","spec_binding_pending_pack_m21_3","m21_3","§50.2.4 ¶4 break-glass `session_closed` event handler.","§50.2.4 ¶4 break-glass `session_closed` event handler.","Closure MUST trigger per-Org integrity scan within 1 hour.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"auth_audit_event_emission_completeness","runtime_evidence","Sourcera_Master_Spec.md","71858","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","3V","spec_binding_pending_pack_m11_3","m11_3","Authentication path test coverage.","Authentication path test coverage.","Every successful / failed login, MFA factor lifecycle, recovery-code-use, account-lockout, session-revocation, password-reset, SSO assertion, SCIM event MUST emit the corresponding `auth.*` AuditEvent within the §6.7.6 SLA window.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"dsar_cascade_residency_partition_isolation","runtime_evidence","Sourcera_Master_Spec.md","71859","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","3V","spec_binding_pending_pack_m02_3","m02_3","Future deploy/static chain: `.github/workflows/deploy-validator.yml`; `convex/deploy_validators/dsar_cascade_residency_partition_isolation.ts`; `tests/security/dsar_cascade_residency_partition_isolation.spec.ts`.","Future deploy/static chain: `.github/workflows/deploy-validator.yml`; `convex/deploy_validators/dsar_cascade_residency_partition_isolation.ts`; `tests/security/dsar_cascade_residency_partition_isolation.spec.ts`.","Cascade walker code paths MUST NOT issue cross-region reads; per-region forks honor `DSARRequest.data_residency_region`; Pattern B User-row pseudonymization MUST execute only in `User.home_residency_region`, with non-home forks waiting on source-region projection-redaction confirmation. All three named artifacts plus positive/negative fixtures and a current run receipt are required for promotion.","Execution context requires: Future deploy/static chain: `.github/workflows/deploy-validator.yml`; `convex/deploy_validators/dsar_cascade_residency_partition_isolation.ts`; `tests/security/dsar_cascade_residency_partition_isolation.spec.ts`.","no named local artifact path","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
"dsar_manifestly_unfounded_rejection_audit_emission","runtime_evidence","Sourcera_Master_Spec.md","71866","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","3V","spec_binding_pending_pack_m11_3","m11_3","DSARRequest state-transition handler tests.","DSARRequest state-transition handler tests.","Every `manifestly_unfounded_rejected` transition MUST emit `dsar.rejected_manifestly_unfounded` AuditEvent with `trigger_condition` + `rejection_rationale` + `dual_signoff_actors[]`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
